filename,label,original_path,image_id
covid-19_000000.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-1.png,0
covid-19_000001.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-10.png,1
covid-19_000002.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-100.png,2
covid-19_000003.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-1000.png,3
covid-19_000004.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-1001.png,4
covid-19_000005.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-1002.png,5
covid-19_000006.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-1003.png,6
covid-19_000007.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-1004.png,7
covid-19_000008.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-1005.png,8
covid-19_000009.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-1006.png,9
covid-19_000010.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-1007.png,10
covid-19_000011.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-1008.png,11
covid-19_000012.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-1009.png,12
covid-19_000013.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-101.png,13
covid-19_000014.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-1010.png,14
covid-19_000015.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-1011.png,15
covid-19_000016.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-1012.png,16
covid-19_000017.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-1013.png,17
covid-19_000018.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-1014.png,18
covid-19_000019.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-1015.png,19
covid-19_000020.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-1016.png,20
covid-19_000021.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-1017.png,21
covid-19_000022.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-1018.png,22
covid-19_000023.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-1019.png,23
covid-19_000024.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-102.png,24
covid-19_000025.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-1020.png,25
covid-19_000026.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-1021.png,26
covid-19_000027.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-1022.png,27
covid-19_000028.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-1023.png,28
covid-19_000029.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-1024.png,29
covid-19_000030.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-1025.png,30
covid-19_000031.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-1026.png,31
covid-19_000032.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-1027.png,32
covid-19_000033.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-1028.png,33
covid-19_000034.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-1029.png,34
covid-19_000035.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-103.png,35
covid-19_000036.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-1030.png,36
covid-19_000037.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-1031.png,37
covid-19_000038.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-1032.png,38
covid-19_000039.png,COVID-19,data\COVID-19_Radiography_Dataset\COVID\images\COVID-1033.png,39
